,E0,J,K',K0,Ksym,L,Qsym,m*,Max_mass,R(1.4),lambda(1.4)
SLy3,-15.945932241975513,31.677219901192146,351.35992565421697,222.66864978006285,-120.69111207956404,45.226448501680906,515.2522986235407,0.7010368431279317,2.0261030197143555,11.508772461827718,302.14663657498403
SLy4,-15.950406385387005,31.7657495543415,354.05612844053877,224.49459035071717,-118.69428251720862,45.8675432707916,513.6730208722628,0.6982460290637879,2.0400731563568115,11.582860174937256,315.7991280052712
SLy5,-15.959475152953638,31.659964318231367,351.55990257120396,222.3767393577596,-111.44969988965305,47.92808068862885,490.17134726873,0.7024337509661734,2.049203395843506,11.65961802467847,331.80737071702066
SLy6,-15.899157012449123,31.772576056608468,353.24289431284393,225.64890558018382,-112.0396807561828,47.34805400321129,504.7589787619421,0.6927865796822426,2.0673186779022217,11.713166124256249,342.2106707887031
SLy7,-15.880452696496807,31.865811211141093,354.35747308363347,226.83915932624876,-113.88344979742482,46.88999863395171,513.0603709183471,0.6900719715117938,2.0690133571624756,11.71326745740338,341.3574968497675
SLy8,-15.944111064074717,31.678014568673603,351.56653743322516,222.87526155907113,-114.31810072245959,47.015064403982635,499.9257685129834,0.7005724410246361,2.0448381900787354,11.621474163788756,323.97567217506594
SLy9,-15.756526541925162,32.69163841652509,371.54813494696947,243.14064023009828,-81.67587020549195,55.945545387261205,478.46317992964885,0.65745485240179,2.223072052001953,12.476942438931678,529.8634657426193
SV,-16.026655720258844,33.229579578543756,181.398529196066,312.48052469869015,24.953447091703413,97.39745916894206,47.86988374308772,0.38021607360665155,2.6505839824676514,14.182317147545987,1420.647343088465
SV-K218,-15.870306370708898,29.683110288902046,386.464003417376,209.8760479235966,-199.20371995868243,35.559524402225684,388.5448616186418,0.9011540160883201,0.8727835416793823,0.0002953580114990473,-45215331123200.0
SV-K226,-15.876206813117971,29.758557291778487,378.79426626810533,218.8322713248895,-205.6638995553009,34.88675231271678,391.3990559874832,0.9011539546274264,0.9895893335342407,0.0002953580114990473,7703626751410176.0
SV-K241,-15.887241870301628,29.894544555787597,357.5464369207404,237.01524870988712,-227.19165436806762,31.47762370375444,410.27775831265484,0.9011707589070173,1.092211365699768,0.0,0.0
SV-bas,-15.882459443714417,29.831317409921105,369.1085626030446,227.85178303842417,-216.76787478060558,33.05569317751461,402.7441502818022,0.9011559801170128,1.0292096138000488,7.910768508911133,116.63131713867188
SV-kap00,-15.877830184812712,29.780434028422427,368.38303506047333,227.5041530641061,-158.7646383549356,39.702199871887345,438.3699775583032,0.9011711690917817,1.7570720911026,10.457988061427349,152.3785028322043
SV-kap20,-15.879772060772646,29.809928042864186,368.8005769398585,227.7056913630871,-189.1569910510322,36.03260143013502,423.5147241986369,0.9011519488298411,1.5135774612426758,9.318119839831498,58.83061192618252
SV-kap60.,-15.884452454560002,29.853305643413353,369.50842781761474,228.04242739371404,-243.95122204878945,30.19545680398917,380.9733641471114,0.9011543315349978,0.2536994218826294,0.0,0.0
SV-mas07,-15.866296607140978,29.697624316297347,346.62051772579036,227.2589820600596,-97.42102415006941,51.82166814613941,359.33491276362014,0.7035553104818623,2.0561575889587402,11.833830446494753,385.4585501960152
SV-mas08,-15.875377322963734,29.779281456734253,360.9559403643224,227.23814721128826,-168.77057743164735,40.46178109061853,389.76950774188936,0.8021758106869351,1.674393653869629,10.292473909258527,129.04159539523764
