,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
s8ps22,-1771.3287,259.8973,-164.7821,13011.3926,NaN,NaN,0.01539,-0.8,0,-0.20892,NaN,NaN,0.35,NaN,NaN
s8s16,-1767.0792,254.3345,-153.7797,12908.1035,NaN,NaN,0.39848,-1.46363,0,0.61767,NaN,NaN,0.35,NaN,NaN
s8s20,-1768.5618,262.2329,-157.5993,12904.8897,NaN,NaN,0.16146,-1.46363,0,0.19594,NaN,NaN,0.35,NaN,NaN
s8s24,-1769.9429,270.2911,-160.8957,12894.4453,NaN,NaN,-0.05347,-1.46363,0,-0.1968,NaN,NaN,0.35,NaN,NaN
s9hs20,-3023.9251,392.2657,-105.5566,17734.1309,NaN,NaN,0.11144,0,0.2,0.00618,NaN,NaN,0.14,NaN,NaN
s9s16,-3030.7217,377.7007,-103.0859,17834.1855,NaN,NaN,0.48717,-0.44832,0.2,0.592259,NaN,NaN,0.14,NaN,NaN
s9s20,-3028.2139,390.4288,-106.213,17779.9473,NaN,NaN,0.161547,-0.44832,0.2,0.135644,NaN,NaN,0.14,NaN,NaN
s9s24,-3031.4666,401.854,-109.4871,17778.2441,NaN,NaN,-0.079363,-0.44832,0.2,-0.209142,NaN,NaN,0.14,NaN,NaN
SAMi,-1877.746,475.5856,-85.2002,10219.58,NaN,NaN,0.319716,-0.531942,-0.013786,0.688323,NaN,NaN,0.2561388,NaN,NaN
Sefm068,-2010.772,450.169,149.831,10974.273,NaN,NaN,0.325938,-0.344503,-1.901577,-0.790546,NaN,NaN,0.2271105,NaN,NaN
Sefm074,-1846.054,389.115,110.885,10809.466,NaN,NaN,-0.323949,-0.332954,-2.258584,-0.799724,NaN,NaN,0.2760962,NaN,NaN
Sefm081,-1798.334,330.052,69.948,11262.011,NaN,NaN,-0.333179,-0.31821,-3.073331,-0.777484,NaN,NaN,0.3,NaN,NaN
Sefm09,-1663.007,267.154,28.846,11388.487,NaN,NaN,-0.337644,-0.29787,-6.116109,-0.772582,NaN,NaN,0.3536788,NaN,NaN
Sefm1,-1600.735,205.894,-13.894,11875.792,NaN,NaN,-0.350069,-0.26687,9.864514,-0.746603,NaN,NaN,0.3860479,NaN,NaN
SGI,-1603,515.9,84.5,8000,NaN,NaN,-0.02,-0.5,-1.731,0.1381,NaN,NaN,0.3333333,NaN,NaN
SGII,-2645,340,-41.9,15595,NaN,NaN,0.09,-0.0588,1.425,0.06044,NaN,NaN,0.1666667,NaN,NaN
SGOI,-1089,558.8,-83.7,8272,NaN,NaN,0.412,0,0,0,NaN,NaN,1,NaN,NaN
SGOII,-2248,558.8,-83.7,11224,NaN,NaN,0.715,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SI,-1057.3,235.9,-100,14463.5,NaN,NaN,0.56,0,0,1,NaN,NaN,1,NaN,NaN
SII,-1169.9,586.6,-27.1,9331.1,NaN,NaN,0.34,0,0,1,NaN,NaN,1,NaN,NaN
SIII,-1128.75,395,-95,14000,NaN,NaN,0.45,0,0,1,NaN,NaN,1,NaN,NaN
SIIIs,-1121,400,-583.33,14000,NaN,NaN,0.43225,0.35,-0.9875,1,NaN,NaN,1,NaN,NaN
SIV,-1205.6,765,35,5000,NaN,NaN,0.05,0,0,1,NaN,NaN,1,NaN,NaN
SK255,-1689.35,389.3,-126.07,10989.6,NaN,NaN,-0.1461,0.116,0.0012,-0.7449,NaN,NaN,0.3563,NaN,NaN
SK272,-1496.84,397.66,-112.82,10191.64,NaN,NaN,0.0008,0.0102,0.002,-0.5519,NaN,NaN,0.4492,NaN,NaN
SKa,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.02,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
ska25s20,-2180.48,281.49,-160.44,14577.8,NaN,NaN,0.13712,-0.8,0,0.06208,NaN,NaN,0.25,NaN,NaN
ska35s15,-1768.97,249.37,-155.56,12978.71,NaN,NaN,0.42553,-0.8,0,0.5274,NaN,NaN,0.35,NaN,NaN
ska35s20,-1768.83,263.86,-158.34,12904.8,NaN,NaN,0.12899,-0.8,0,0.00654,NaN,NaN,0.35,NaN,NaN
ska35s25,-1772.73,276.85,-162.36,12899.78,NaN,NaN,-0.14393,-0.8,0,-0.49481,NaN,NaN,0.35,NaN,NaN
ska45s20,-1537.89,245.47,-157.2,12461.12,NaN,NaN,0.12318,-0.8,0,-0.05608,NaN,NaN,0.45,NaN,NaN
SKb,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.165,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
SkI1,-1913.619,439.809,2697.594,10592.267,NaN,NaN,-0.954536,-5.782388,-1.287379,-1.561421,NaN,NaN,0.25,NaN,NaN
SkI2,-1915.43,438.449,305.446,10548.9,NaN,NaN,-0.2108,-1.7376,-1.5336,-0.178,NaN,NaN,0.25,NaN,NaN
SkI3,-1762.88,561.608,-227.09,8106.2,NaN,NaN,0.3083,-1.1722,-1.0907,1.2926,NaN,NaN,0.25,NaN,NaN
