t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
KDE0v,-2526.511,430.9418,-398.3775,14235.5193,NaN,NaN,0.7583,-0.3087,-0.9495,1.1445,NaN,NaN,0.1676,NaN,NaN
KDE0v1,-2553.0843,411.6963,-419.8712,14603.6069,NaN,NaN,0.6483,-0.3472,-0.9268,0.9475,NaN,NaN,0.1673,NaN,NaN
LNS,-2484.97,266.735,-337.135,14588.2,NaN,NaN,0.06277,0.65845,-0.95382,-0.03413,NaN,NaN,0.16667,NaN,NaN
SV-min,-2112.248,295.781,142.268,13988.567,NaN,NaN,0.24388631,-1.4349263,-2.6258991,0.25807017,NaN,NaN,0.255368,NaN,NaN
SV-bas,-1879.639,313.749,112.677,12527.376,NaN,NaN,0.25854594,-0.381689,-2.8236379,0.12322898,NaN,NaN,0.3,NaN,NaN
SV-K241,-1745.184,310.497,5.705,11975.552,NaN,NaN,0.29178663,-0.10698977,-31.904412,0.15733503,NaN,NaN,0.34,NaN,NaN
SV-K226,-2055.773,317.043,247.652,13344.393,NaN,NaN,0.21749795,-0.71722267,-1.975946,0.081931749,NaN,NaN,0.26,NaN,NaN
SV-K218,-2295.822,320.278,330.798,14557.194,NaN,NaN,0.19180277,-0.9251343,-1.8008143,0.068065603,NaN,NaN,0.22,NaN,NaN
SV-mas10,-1813.907,270.452,57.215,12965.454,NaN,NaN,0.23289831,0.12718125,-4.7952037,-0.062346265,NaN,NaN,0.33,NaN,NaN
SV-mas08,-1982.65,368.228,274.611,12141.094,NaN,NaN,0.28565257,-1.0374037,-1.7808251,0.33936396,NaN,NaN,0.26,NaN,NaN
SV-mas07,-2203.658,438.349,566.846,12222.736,NaN,NaN,0.35436918,-1.7829396,-1.4369322,0.63253409,NaN,NaN,0.2,NaN,NaN
SV-sym34,-1887.367,323.804,351.782,12597.277,NaN,NaN,-0.23010994,-0.95958627,-1.7754751,-0.72185432,NaN,NaN,0.3,NaN,NaN
SV-sym32,-1883.278,319.184,197.329,12559.469,NaN,NaN,0.007688467,-0.59430727,-2.1692149,-0.30953656,NaN,NaN,0.3,NaN,NaN
SV-sym28,-1877.431,307.255,140.868,12511.94,NaN,NaN,0.51782097,-0.43129116,-2.474137,0.5687936,NaN,NaN,0.3,NaN,NaN
SV-kap60.,-1880.594,314.373,194.94,12537,NaN,NaN,0.18380512,0.082542519,-2.1619715,-0.14667428,NaN,NaN,0.3,NaN,NaN
