,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
s18s24,-2668.081787,401.5772095,-123.9690628,15688.72363,0,0,-0.08622100,-0.36261130,0.00000000,-0.25123070,0,0,0.1666667,0,0
s3hs20,-2672.9292,389.99866,-483.65036,15780.56641,0,0,0.38065000,-0.40000000,-0.93000000,0.54640000,0,0,0.166666,0,0
s3s16,-2709.763672,365.6653748,-495.5246582,16215.47949,0,0,0.53618500,0.17936000,-0.92680000,0.67957300,0,0,0.166666,0,0
s3s20,-2701.99585,379.7926636,-503.6746216,16098.8623,0,0,0.27494200,0.17936000,-0.92680000,0.29666200,0,0,0.166666,0,0
s3s24,-2705.20166,391.3623657,-521.7019653,16102.80664,0,0,0.03037500,0.17936000,-0.92680000,-0.07019450,0,0,0.166666,0,0
s6hs20,-2825.33716,460.53088,-92.32841,15717.91211,0,0,0.20841000,-0.05000000,0.03000000,0.17311000,0,0,0.14,0,0
s6s16,-2890.862061,429.2244263,-97.4184952,16398.63477,0,0,0.48759200,-0.07004890,0.02717000,0.57636490,0,0,0.14,0,0
s6s20,-2846.386719,452.9282837,-95.367775,15933.55762,0,0,0.19894300,-0.07004890,0.02717000,0.15958350,0,0,0.14,0,0
s6s24,-2850.687012,465.3125,-99.0769882,15935.56348,0,0,-0.08327800,-0.07004890,0.02717000,-0.26683980,0,0,0.14,0,0
s7hs20,-2182.06104,277.28992,-160.75455,14616.16504,0,0,0.14993000,-0.80000000,0.00000000,0.08177000,0,0,0.25,0,0
s7s16,-2180.798096,268.8235168,-156.0245514,14617.27832,0,0,0.43596500,-1.34890410,0.00000000,0.60922680,0,0,0.25,0,0
s7s20,-2182.321533,278.4217224,-160.1265259,14608.74219,0,0,0.18586200,-1.34890410,0.00000000,0.21943550,0,0,0.25,0,0
s7s24,-2183.740723,288.3077698,-163.8307343,14594.49121,0,0,-0.04175800,-1.34890410,0.00000000,-0.14318330,0,0,0.25,0,0
s8hs20,-1768.21558,261.41516,-158.55165,12913.66895,0,0,0.13785000,-0.80000000,0.00000000,0.02291000,0,0,0.35,0,0
s8ps12,-1771.21252,234.06589,-156.8271,13114.0625,0,0,0.58953000,-0.80000000,0.00000000,0.79856000,0,0,0.35,0,0
s8ps16,-1770.0769,244.00424,-159.94211,13060.79395,0,0,0.34671000,-0.80000000,0.00000000,0.38174000,0,0,0.35,0,0
s8ps18,-1769.35144,250.29329,-160.98311,13019.35547,0,0,0.23343000,-0.80000000,0.00000000,0.18435000,0,0,0.35,0,0
s8ps20,-1770.2207,254.81752,-162.91135,13015.9082,0,0,0.12224000,-0.80000000,0.00000000,-0.01495000,0,0,0.35,0,0
s8ps22,-1771.32874,259.89734,-164.7821,13011.39258,0,0,0.01539000,-0.80000000,0.00000000,-0.20892000,0,0,0.35,0,0
s8s16,-1767.07922,254.33446,-153.77974,12908.10352,0,0,0.39848000,-1.46363000,0.00000000,0.61767000,0,0,0.35,0,0
s8s20,-1768.56177,262.23285,-157.59932,12904.88965,0,0,0.16146000,-1.46363000,0.00000000,0.19594000,0,0,0.35,0,0
s8s24,-1769.94287,270.29108,-160.89565,12894.44531,0,0,-0.05347000,-1.46363000,0.00000000,-0.19680000,0,0,0.35,0,0
s9hs20,-3023.92505,392.26572,-105.55664,17734.13086,0,0,0.11144000,0.00000000,0.20000000,0.00618000,0,0,0.14,0,0
s9s16,-3030.72168,377.7007141,-103.0858994,17834.18555,0,0,0.48717000,-0.44832000,0.20000000,0.59225930,0,0,0.14,0,0
s9s20,-3028.213867,390.428772,-106.2129745,17779.94727,0,0,0.16154700,-0.44832000,0.20000000,0.13564350,0,0,0.14,0,0
s9s24,-3031.466553,401.8540344,-109.4870529,17778.24414,0,0,-0.07936300,-0.44832000,0.20000000,-0.20914230,0,0,0.14,0,0
ska25s20,-2180.48,281.49,-160.44,14577.8,0,0,0.13712000,-0.80000000,0.00000000,0.06208000,0,0,0.25,0,0
ska35s20,-1768.83,263.86,-158.34,12904.8,0,0,0.12899000,-0.80000000,0.00000000,0.00654000,0,0,0.35,0,0
ska35s25,-1772.73,276.85,-162.36,12899.78,0,0,-0.14393000,-0.80000000,0.00000000,-0.49481000,0,0,0.35,0,0
ska45s20,-1537.89,245.47,-157.2,12461.12,0,0,0.12318000,-0.80000000,0.00000000,-0.05608000,0,0,0.45,0,0
v100,-1827.96,253.702,-220.261,13419.5,0,0,0.56493800,-0.50000000,-0.27226900,0.72980800,0,0,0.3333333,0,0
v105,-1827.96,253.114,-286.554,13419.5,0,0,0.61195600,-0.50000000,-0.50000000,0.83747900,0,0,0.3333333,0,0
v110,-1827.96,252.949,-347.19,13419.5,0,0,0.62787100,-0.50000000,-0.63134100,0.89475700,0,0,0.3333333,0,0
